Customer ID,Product,Month,Active Days,Sessions,Product Actions,Collaborators,Integrations Used
CUST00001,Loom,2023-01,3,7,49,12,3
CUST00001,Loom,2023-02,4,7,22,4,4
CUST00001,Loom,2023-03,5,10,37,5,3
CUST00001,Loom,2023-04,4,7,47,12,1
CUST00001,Loom,2023-05,5,10,34,4,3
CUST00002,Loom,2023-01,8,19,80,9,2
CUST00002,Loom,2023-02,8,15,92,14,4
CUST00002,Loom,2023-03,3,8,51,11,2
CUST00002,Loom,2023-04,7,13,85,16,5
CUST00002,Loom,2023-05,5,11,66,11,1
CUST00003,Trello,2023-01,8,14,63,13,1
CUST00003,Trello,2023-02,4,7,27,11,0
CUST00003,Trello,2023-03,6,11,44,8,1
CUST00003,Trello,2023-04,3,7,40,9,2
CUST00003,Trello,2023-05,2,4,19,9,2
CUST00004,Bitbucket,2023-01,20,33,217,10,6
CUST00004,Bitbucket,2023-02,19,43,284,20,6
CUST00004,Bitbucket,2023-03,17,43,310,10,7
CUST00004,Bitbucket,2023-04,18,38,239,9,5
CUST00004,Bitbucket,2023-05,23,42,345,18,6
CUST00005,Bitbucket,2023-01,6,10,40,5,1
CUST00005,Bitbucket,2023-02,6,11,33,10,3
CUST00005,Bitbucket,2023-03,5,8,30,5,4
CUST00005,Bitbucket,2023-04,2,3,20,6,1
CUST00005,Bitbucket,2023-05,6,12,50,8,2
CUST00006,Bitbucket,2023-01,12,28,120,10,4
CUST00006,Bitbucket,2023-02,14,28,230,18,2
CUST00006,Bitbucket,2023-03,11,22,121,17,1
CUST00006,Bitbucket,2023-04,12,30,145,18,2
CUST00006,Bitbucket,2023-05,12,28,218,20,3
CUST00007,Loom,2023-01,6,13,82,17,0
CUST00007,Loom,2023-02,11,19,151,17,1
CUST00007,Loom,2023-03,9,16,116,8,0
CUST00007,Loom,2023-04,12,20,86,7,0
CUST00007,Loom,2023-05,7,13,89,13,2
CUST00008,Confluence,2023-01,9,17,133,7,3
CUST00008,Confluence,2023-02,9,16,91,16,2
CUST00008,Confluence,2023-03,5,14,115,9,4
CUST00008,Confluence,2023-04,6,15,81,11,4
CUST00008,Confluence,2023-05,9,16,109,9,5
CUST00009,Confluence,2023-01,11,21,163,19,4
CUST00009,Confluence,2023-02,7,19,109,17,5
CUST00009,Confluence,2023-03,11,23,99,6,4
CUST00009,Confluence,2023-04,8,18,60,7,3
CUST00009,Confluence,2023-05,8,16,132,18,5
CUST00010,Confluence,2023-01,17,28,169,9,4
CUST00010,Confluence,2023-02,14,29,240,20,9
CUST00010,Confluence,2023-03,9,23,123,15,7
CUST00010,Confluence,2023-04,16,36,260,10,4
CUST00010,Confluence,2023-05,17,31,188,11,6
CUST00011,Jira,2023-01,16,26,84,6,0
CUST00011,Jira,2023-02,6,16,89,11,1
CUST00011,Jira,2023-03,11,20,78,12,1
CUST00011,Jira,2023-04,9,16,60,5,0
CUST00011,Jira,2023-05,9,19,146,16,2
CUST00012,Jira,2023-01,21,35,281,10,3
CUST00012,Jira,2023-02,14,35,188,17,5
CUST00012,Jira,2023-03,22,39,158,15,2
CUST00012,Jira,2023-04,15,34,270,13,2
CUST00012,Jira,2023-05,18,35,276,20,2
CUST00013,Loom,2023-01,7,12,77,10,0
CUST00013,Loom,2023-02,5,11,64,5,1
CUST00013,Loom,2023-03,4,8,38,10,2
CUST00013,Loom,2023-04,7,16,72,14,1
CUST00013,Loom,2023-05,4,9,68,12,1
CUST00014,Trello,2023-01,9,19,147,7,7
CUST00014,Trello,2023-02,5,12,86,12,5
CUST00014,Trello,2023-03,9,17,62,5,7
CUST00014,Trello,2023-04,8,15,45,12,6
CUST00014,Trello,2023-05,11,18,55,10,8
CUST00015,Loom,2023-01,7,13,103,15,5
CUST00015,Loom,2023-02,5,9,32,5,5
CUST00015,Loom,2023-03,7,16,119,10,4
CUST00015,Loom,2023-04,7,16,62,14,3
CUST00015,Loom,2023-05,7,12,43,9,2
CUST00016,Loom,2023-01,9,19,91,15,6
CUST00016,Loom,2023-02,8,17,136,7,5
CUST00016,Loom,2023-03,8,18,73,6,7
CUST00016,Loom,2023-04,8,15,101,16,6
CUST00016,Loom,2023-05,7,13,84,10,8
CUST00017,Trello,2023-01,8,15,77,16,4
CUST00017,Trello,2023-02,8,18,120,13,4
CUST00017,Trello,2023-03,12,20,114,11,4
CUST00017,Trello,2023-04,7,14,113,7,3
CUST00017,Trello,2023-05,6,11,48,7,3
CUST00018,Loom,2023-01,8,15,119,6,7
CUST00018,Loom,2023-02,8,15,66,7,5
CUST00018,Loom,2023-03,4,10,47,6,5
CUST00018,Loom,2023-04,6,11,57,15,7
CUST00018,Loom,2023-05,9,16,65,10,6
CUST00019,Loom,2023-01,10,20,113,8,3
CUST00019,Loom,2023-02,8,18,102,7,1
CUST00019,Loom,2023-03,11,19,68,8,3
CUST00019,Loom,2023-04,5,12,57,11,5
CUST00019,Loom,2023-05,11,20,81,8,1
CUST00020,Jira,2023-01,3,8,29,8,1
CUST00020,Jira,2023-02,3,6,22,7,3
CUST00020,Jira,2023-03,3,6,21,10,2
CUST00020,Jira,2023-04,3,6,35,5,3
CUST00020,Jira,2023-05,6,15,125,16,2
CUST00021,Bitbucket,2023-01,10,20,106,11,5
CUST00021,Bitbucket,2023-02,15,29,103,7,6
CUST00021,Bitbucket,2023-03,9,17,127,13,3
CUST00021,Bitbucket,2023-04,9,21,176,9,4
CUST00021,Bitbucket,2023-05,10,18,87,10,4
CUST00022,Confluence,2023-01,5,8,65,11,1
CUST00022,Confluence,2023-02,2,5,16,9,0
CUST00022,Confluence,2023-03,7,14,90,7,2
CUST00022,Confluence,2023-04,4,9,58,15,4
CUST00022,Confluence,2023-05,3,6,45,9,3
CUST00023,Jira,2023-01,5,8,49,15,4
