Feature,Importance
Plan Type_Enterprise,0.23159073389750462
Total Product Actions,0.21613794438740916
Plan Type_Standard,0.14975101369115126
Average Integrations Used,0.12797641330911516
Product Purchased_Jira,0.12786266564248733
Industry_Financial Services,0.12383227172599569
Total Active Days,0.11854866595875856
Total Sessions,0.11692878650058205
Plan Type_Free,0.11029309926460631
Company Size_501-1000,0.10758496300798825
Product Purchased_Bitbucket,0.09841236132141602
Region_Other,0.08193798303796075
Company Size_1-10,0.07132820894518971
Industry_Healthcare,0.06987992359949835
Actions per Session,0.06969607644376347
Industry_Technology,0.06595848636779764
Product Purchased_Confluence,0.06587486391674499
Active Day Trend per Month,0.06176969998904838
Product Purchased_Trello,0.060546685449058876
Industry_Education,0.055556522942318144
Company Size_1000+,0.055459747588094854
Plan Type_Premium,0.05345332997432685
Region_Australia & New Zealand,0.048676943968085445
Company Size_11-50,0.04789886807077137
Session Trend per Month,0.04603320884166812
Industry_Other,0.044985695508050726
Industry_Government & Public Sector,0.039437975196802186
Region_Asia-Pacific,0.03872959707042664
Average Collaborators,0.03698905824187187
Company Size_51-200,0.034358518626341754
