Ticket ID,Customer ID,Product Purchased,Industry,Region,Company Size,Plan Type,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,At Risk,Total Active Days,Total Sessions,Total Product Actions,Average Collaborators,Average Integrations Used,Session Trend per Month,Session Change Percent,Risk Score,Review Percentile,Review Tier,Value Score,Priority Score,Observed Signals,Recommended Action
6470,CUST04046,Bitbucket,Professional Services,Australia & New Zealand,11-50,Enterprise,Refund request,Refund request,Pending Customer Response,Low,Phone,,1,142,278,1523,14.8,6.0,3.299999999999995,0.21568627450980393,0.6144290787231174,0.0004723107804935648,Tier 1 · Top 10%,4,0.7301003551061821,No strong usage signal,Specialist outreach
5486,CUST02045,Bitbucket,Education,North America,1000+,Enterprise,Billing inquiry,Data loss,Pending Customer Response,Critical,Phone,,0,66,137,728,9.4,6.6,-4.482880225279753e-15,-0.04,0.591259230917278,0.005549651670799386,Tier 1 · Top 10%,4,0.7138814616420945,Declining sessions,Specialist outreach
1204,CUST02033,Trello,Retail,North America,51-200,Enterprise,Technical issue,Installation support,Pending Customer Response,Critical,Chat,,0,105,193,1226,13.4,7.2,-1.2000000000000053,-0.02631578947368421,0.5816026846351084,0.011571614122092337,Tier 1 · Top 10%,4,0.7071218792445759,Declining sessions,Specialist outreach
3055,CUST06230,Trello,Professional Services,North America,11-50,Enterprise,Billing inquiry,Payment issue,Closed,High,Chat,2.0,0,115,206,1020,12.0,6.8,-1.200000000000005,-0.11627906976744186,0.577192943966104,0.01700318809776833,Tier 1 · Top 10%,4,0.7040350607762728,Declining sessions,Specialist outreach
8278,CUST01588,Trello,Professional Services,Australia & New Zealand,51-200,Enterprise,Technical issue,Data loss,Pending Customer Response,High,Chat,,0,125,232,1356,10.8,6.2,-1.6000000000000028,-0.20754716981132076,0.5770597146318588,0.017357421183138506,Tier 1 · Top 10%,4,0.7039418002423011,Declining sessions,Specialist outreach
189,CUST01345,Loom,Healthcare,Asia-Pacific,11-50,Enterprise,Refund request,Product compatibility,Closed,High,Phone,1.0,1,47,85,473,10.8,7.0,-1.1000000000000016,-0.25,0.5740510436166723,0.020427441256346678,Tier 1 · Top 10%,4,0.7018357305316705,Declining sessions,Specialist outreach
2109,CUST07668,Trello,Healthcare,Australia & New Zealand,1000+,Enterprise,Product inquiry,Installation support,Open,High,Social media,,0,55,103,414,11.0,6.8,-1.2000000000000013,0.0,0.5728611989412589,0.02361553902467824,Tier 1 · Top 10%,4,0.7010028392588812,Declining sessions,Specialist outreach
2405,CUST02234,Bitbucket,Government & Public Sector,Australia & New Zealand,51-200,Enterprise,Cancellation request,Product setup,Pending Customer Response,Low,Phone,,1,53,95,559,14.2,6.6,-2.000000000000003,-0.3076923076923077,0.5714962938032615,0.02585901523202267,Tier 1 · Top 10%,4,0.700047405662283,Declining sessions,Specialist outreach
990,CUST00074,Trello,Other,North America,11-50,Enterprise,Cancellation request,Software bug,Open,Low,Chat,,1,69,123,672,12.0,7.2,1.1999999999999977,0.21052631578947367,0.5706351023546862,0.027157869878379974,Tier 1 · Top 10%,4,0.6994445716482802,No strong usage signal,Specialist outreach
4734,CUST00636,Trello,Government & Public Sector,Australia & New Zealand,51-200,Enterprise,Refund request,Product recommendation,Closed,High,Email,5.0,1,65,116,591,9.6,6.0,0.6999999999999987,0.18181818181818182,0.5700732845389248,0.029165190695477624,Tier 1 · Top 10%,4,0.6990512991772473,No strong usage signal,Specialist outreach
6098,CUST04508,Bitbucket,Healthcare,Australia & New Zealand,1000+,Enterprise,Technical issue,Email delivery problem,Closed,Critical,Chat,2.0,0,37,75,447,9.8,6.6,1.0999999999999992,0.26666666666666666,0.5694206718694155,0.02999173456134136,Tier 1 · Top 10%,4,0.6985944703085908,No strong usage signal,Specialist outreach
6935,CUST03218,Bitbucket,Healthcare,Europe,51-200,Enterprise,Refund request,Product compatibility,Open,Medium,Phone,,1,76,125,836,14.8,6.6,0.9999999999999978,0.17391304347826086,0.5691262375977649,0.030700200732081708,Tier 1 · Top 10%,4,0.6983883663184354,No strong usage signal,Specialist outreach
1012,CUST06107,Bitbucket,Healthcare,Asia-Pacific,201-500,Enterprise,Refund request,Network problem,Pending Customer Response,Low,Social media,,1,51,95,436,11.4,7.0,-0.3000000000000027,-0.08695652173913043,0.5683472901279417,0.032235210768685796,Tier 1 · Top 10%,4,0.6978431030895591,Declining sessions,Specialist outreach
1098,CUST03607,Trello,Education,Australia & New Zealand,51-200,Enterprise,Cancellation request,Email delivery problem,Pending Customer Response,Critical,Email,,1,80,145,806,10.8,6.6,-1.2610225138533898e-15,-0.0625,0.568339064949071,0.032353288463809186,Tier 1 · Top 10%,4,0.6978373454643497,Declining sessions,Specialist outreach
814,CUST02884,Bitbucket,Retail,Asia-Pacific,201-500,Enterprise,Technical issue,Product recommendation,Open,Low,Email,,0,132,249,1542,13.8,6.8,-1.300000000000001,-0.11320754716981132,0.5683072146307255,0.03247136615893258,Tier 1 · Top 10%,4,0.6978150502415079,Declining sessions,Specialist outreach
7080,CUST01193,Bitbucket,Healthcare,Europe,11-50,Enterprise,Product inquiry,Software bug,Closed,Medium,Phone,4.0,0,81,170,857,12.4,6.4,-0.6000000000000003,-0.08333333333333333,0.5660965014290302,0.036131774707757705,Tier 1 · Top 10%,4,0.6962675510003211,Declining sessions,Specialist outreach
6634,CUST02675,Bitbucket,Professional Services,Australia & New Zealand,51-200,Enterprise,Refund request,Loading issue,Closed,Critical,Social media,4.0,1,44,82,526,11.2,6.0,-0.8000000000000027,-0.15,0.5657115010255657,0.036958318573621446,Tier 1 · Top 10%,4,0.695998050717896,Declining sessions,Specialist outreach
3553,CUST03065,Trello,Education,Australia & New Zealand,11-50,Enterprise,Product inquiry,Account access,Pending Customer Response,Low,Social media,,0,34,65,395,9.6,7.2,1.0999999999999994,0.15384615384615385,0.5646345589383004,0.03920179478096587,Tier 1 · Top 10%,4,0.6952441912568103,No strong usage signal,Specialist outreach
1459,CUST05454,Bitbucket,Education,North America,201-500,Enterprise,Billing inquiry,Refund request,Pending Customer Response,Critical,Phone,,0,59,107,574,11.0,7.4,-1.2000000000000035,-0.3333333333333333,0.5643292381245456,0.03979218325658283,Tier 1 · Top 10%,4,0.6950304666871818,Declining sessions,Specialist outreach
2564,CUST05478,Bitbucket,Professional Services,Asia-Pacific,1000+,Enterprise,Cancellation request,Integration,Open,Medium,Social media,,1,74,137,731,13.6,6.4,0.7999999999999995,0.125,0.5635242075807576,0.04203565946392726,Tier 1 · Top 10%,4,0.6944669453065303,No strong usage signal,Specialist outreach
